protein,Heat_target_0.1,Heat_target_0.2,Heat_target_0.3
9606.ENSP00000269385,6.471872620750219e-05,5.948913894826546e-05,5.773031443823129e-05
9606.ENSP00000297689,0.0001506997650722,6.474042311310768e-05,5.957977191428654e-05
9606.ENSP00000295108,6.876623228890821e-05,6.021941953804344e-05,5.8030986110679805e-05
9606.ENSP00000483688,6.293055776041001e-05,5.931485793553293e-05,5.76995917072054e-05
9606.ENSP00000344648,5.0958318752236664e-05,5.758066981798038e-05,5.735186277888715e-05
9606.ENSP00000322649,5.962356954114512e-05,5.869523374713026e-05,5.752252764068544e-05
9606.ENSP00000412237,6.629384006373584e-05,5.82107350055594e-05,5.728581891162321e-05
9606.ENSP00000348455,6.31889997748658e-05,5.946003147982992e-05,5.779172715847381e-05
9606.ENSP00000266735,6.289394514169544e-05,5.943775249761529e-05,5.777965270681307e-05
9606.ENSP00000480971,5.2470542868832126e-05,5.637921276502311e-05,5.643106487696059e-05
9606.ENSP00000276198,5.693286584573798e-05,5.7648736401461065e-05,5.7146626204485074e-05
9606.ENSP00000371040,2.083915751427412e-05,3.449818177614361e-05,4.28056919190567e-05
9606.ENSP00000303942,6.252362072700635e-05,5.9374517149990425e-05,5.777765181846917e-05
9606.ENSP00000478942,5.778137347078882e-05,5.6751188822090626e-05,5.62019667995628e-05
9606.ENSP00000282516,6.235943146748468e-05,5.9465768572408706e-05,5.7942859712056816e-05
9606.ENSP00000432660,6.186016980791464e-05,5.917246380704455e-05,5.7681634643813595e-05
9606.ENSP00000355217,6.183197547215968e-05,5.904760109842755e-05,5.7665660278871655e-05
9606.ENSP00000263274,6.377948739100248e-05,5.960459020570852e-05,5.788445923826657e-05
9606.ENSP00000272252,4.979186269338243e-05,5.652058098348789e-05,5.681216134689748e-05
9606.ENSP00000280057,2.404795668553561e-05,4.037469989270903e-05,4.845519652008079e-05
9606.ENSP00000409832,3.5026989735342795e-06,8.197653187380638e-06,1.249366414413089e-05
9606.ENSP00000445772,4.380133032100275e-05,5.529381814994849e-05,5.710258847102523e-05
9606.ENSP00000354501,6.09594899287913e-05,5.958303154329769e-05,5.796749610453844e-05
9606.ENSP00000376048,6.0991194914095104e-05,5.9056263125967234e-05,5.768646587966941e-05
